close,date,high,interest_over_time_AU,interest_over_time_BR,interest_over_time_CA,interest_over_time_CN,interest_over_time_DE,interest_over_time_FR,interest_over_time_GB,interest_over_time_GH,interest_over_time_IN,interest_over_time_JP,interest_over_time_KE,interest_over_time_KR,interest_over_time_NG,interest_over_time_RU,interest_over_time_SG,interest_over_time_US,interest_over_time_VE,interest_over_time_ZA,low,num_retweets,num_tweets,open,tweet_exposure,volume_from,volume_to
751.8,2018-03-07 21:00:00,752.01,64.0,14.0,24.0,0.0,35.0,26.0,40.0,0.0,94.0,0.0,4.0,69.0,24.0,64.0,26.0,31.0,23.0,41.0,738.57,11300.0,10000.0,739.72,26564500.0,22182.89,16531639.99
754.93,2018-03-07 22:00:00,770.41,51.0,16.0,23.0,51.0,40.0,29.0,43.0,0.0,46.0,9.0,0.0,29.0,6.0,56.0,15.0,30.0,16.0,52.0,751.49,11300.0,10000.0,751.69,26564500.0,26049.19,19840200.03
751.13,2018-03-07 23:00:00,757.21,39.0,14.0,23.0,35.0,75.0,38.0,41.0,0.0,100.0,6.0,0.0,50.0,31.0,69.0,44.0,28.0,17.0,69.0,749.47,11300.0,10000.0,754.94,26564500.0,14675.05,11055225.31
758.72,2018-03-08 00:00:00,760.59,32.0,11.0,20.0,20.0,70.0,44.0,59.0,0.0,74.0,38.0,21.0,28.0,14.0,100.0,51.0,32.0,25.0,52.0,750.75,11300.0,10000.0,751.13,26564500.0,9349.74,7085600.52
754.63,2018-03-08 01:00:00,763.04,42.0,10.0,19.0,62.0,57.0,63.0,66.0,16.0,40.0,27.0,55.0,55.0,46.0,53.0,24.0,25.0,14.0,21.0,753.03,11300.0,10000.0,758.72,26564500.0,11578.8,8782340.43
737.28,2018-03-08 02:00:00,755.11,29.0,13.0,19.0,31.0,94.0,57.0,53.0,0.0,34.0,57.0,0.0,87.0,36.0,70.0,23.0,26.0,17.0,71.0,736.51,11300.0,10000.0,754.63,26564500.0,27150.37,20197960.77
735.76,2018-03-08 03:00:00,742.21,33.0,13.0,20.0,22.0,54.0,23.0,67.0,33.0,45.0,46.0,14.0,54.0,73.0,36.0,36.0,27.0,45.0,35.0,735.53,11300.0,10000.0,737.24,26564500.0,14163.86,10467673.5
744.87,2018-03-08 04:00:00,747.09,35.0,22.0,24.0,60.0,62.0,57.0,49.0,0.0,42.0,37.0,0.0,50.0,0.0,26.0,30.0,31.0,64.0,62.0,735.68,11300.0,10000.0,735.76,26564500.0,11697.2,8665729.12
747.26,2018-03-08 05:00:00,747.85,39.0,23.0,26.0,44.0,43.0,35.0,79.0,0.0,45.0,52.0,10.0,80.0,30.0,25.0,35.0,35.0,64.0,37.0,743.22,11300.0,10000.0,744.72,26564500.0,7161.6,5351956.55
747.99,2018-03-08 06:00:00,749.92,32.0,35.0,32.0,34.0,36.0,50.0,51.0,0.0,48.0,32.0,4.0,68.0,29.0,23.0,23.0,37.0,47.0,55.0,745.31,11300.0,10000.0,747.23,26564500.0,7947.73,5944602.36
